Date,Open,High,Low,Close,Adj Close,Volume
2010-06-01,19.000000,30.420000,17.540001,23.830000,23.830000,35953400
2010-07-01,25.000000,25.920000,14.980000,19.940001,19.940001,64575800
2010-08-01,20.500000,22.180000,17.389999,19.480000,19.480000,15038200
2010-09-01,19.620001,23.160000,19.500000,20.410000,20.410000,18045900
2010-10-01,20.690001,21.870001,20.000000,21.840000,21.840000,6547800
2010-11-01,21.940001,36.000000,21.049999,35.330002,35.330002,28315100
2010-12-01,35.869999,36.419998,25.000000,26.629999,26.629999,36892900
2011-01-01,26.840000,28.709999,22.370001,24.100000,24.100000,28420100
2011-02-01,24.309999,25.490000,21.110001,23.889999,23.889999,29303500
2011-03-01,24.049999,28.709999,21.770000,27.750000,27.750000,32563300
2011-04-01,27.450001,28.180000,24.200001,27.600000,27.600000,29894900
2011-05-01,27.600000,30.280001,25.520000,30.139999,30.139999,30348800
2011-06-01,30.000000,31.500000,25.500000,29.129999,29.129999,39727300
2011-07-01,29.070000,30.440001,26.629999,28.170000,28.170000,21102100
2011-08-01,28.670000,29.200001,21.500000,24.740000,24.740000,27215700
2011-09-01,24.660000,26.990000,22.290001,24.389999,24.389999,18021500
2011-10-01,24.950001,30.000000,22.930000,29.370001,29.370001,21662600
2011-11-01,28.389999,35.000000,28.000000,32.740002,32.740002,25846800
2011-12-01,32.570000,35.000000,26.030001,28.559999,28.559999,21128500
2012-01-01,28.940001,30.000000,22.639999,29.070000,29.070000,25609900
2012-02-01,29.070000,34.970001,29.000000,33.410000,33.410000,23193600
2012-03-01,33.509998,39.950001,32.619999,37.240002,37.240002,22163500
2012-04-01,37.330002,38.470001,31.000000,33.130001,33.130001,22752900
2012-05-01,33.130001,34.680000,26.830000,29.500000,29.500000,34185300
2012-06-01,28.530001,34.500000,27.110001,31.290001,31.290001,26127100
2012-07-01,31.350000,36.000000,27.209999,27.420000,27.420000,32543400
2012-08-01,27.990000,31.299999,25.520000,28.520000,28.520000,24482100
2012-09-01,28.520000,32.779999,27.299999,29.280001,29.280001,33295100
2012-10-01,29.500000,30.100000,26.860001,28.129999,28.129999,17620900
2012-11-01,28.250000,34.290001,28.200001,33.820000,33.820000,23760900
2012-12-01,33.889999,35.799999,32.750000,33.869999,33.869999,21714300
2013-01-01,35.000000,38.709999,32.110001,37.509998,37.509998,28464600
2013-02-01,38.169998,40.000000,33.799999,34.830002,34.830002,44256000
2013-03-01,35.000000,39.490002,34.250000,37.889999,37.889999,29655000
2013-04-01,42.360001,58.180000,40.209999,53.990002,53.990002,81548100
2013-05-01,55.990002,114.900002,53.000000,97.760002,97.760002,331220900
2013-06-01,97.620003,110.250000,88.250000,107.360001,107.360001,179114700
2013-07-01,109.360001,137.490005,104.500000,134.279999,134.279999,229528200
2013-08-01,135.000000,173.000000,132.360001,169.000000,169.000000,259266600
2013-09-01,173.399994,194.500000,158.509995,193.369995,193.369995,171210600
2013-10-01,193.960007,194.229996,153.000000,159.940002,159.940002,258454800
2013-11-01,163.000000,181.429993,116.099998,127.279999,127.279999,308388500
2013-12-01,126.349998,158.000000,123.930000,150.429993,150.429993,197637900
2014-01-01,149.800003,186.000000,136.669998,181.410004,181.410004,183932300
2014-02-01,182.889999,265.000000,169.360001,244.809998,244.809998,225954100
2014-03-01,237.259995,260.000000,203.000000,208.449997,208.449997,166685600
2014-04-01,209.020004,235.729996,184.320007,207.889999,207.889999,165207800
2014-05-01,207.080002,218.660004,177.220001,207.770004,207.770004,134810100
2014-06-01,207.330002,244.490005,199.250000,240.059998,240.059998,123362700
2014-07-01,242.460007,243.440002,213.600006,223.300003,223.300003,107952700
2014-08-01,226.089996,272.000000,226.000000,269.700012,269.700012,114847200
2014-09-01,275.500000,291.420013,240.119995,242.679993,242.679993,132848300
2014-10-01,242.199997,265.540009,217.320007,241.699997,241.699997,152052500
2014-11-01,243.000000,259.989990,228.500000,244.520004,244.520004,107721800
2014-12-01,241.160004,242.470001,192.649994,222.410004,222.410004,127050800
2015-01-01,222.869995,223.250000,185.000000,203.600006,203.600006,90108200
2015-02-01,203.970001,225.479996,193.279999,203.339996,203.339996,106670000
2015-03-01,202.699997,206.190002,181.399994,188.770004,188.770004,122767100
2015-04-01,188.699997,238.750000,186.050003,226.050003,226.050003,98922900
2015-05-01,229.940002,252.869995,220.250000,250.800003,250.800003,89115000
2015-06-01,251.410004,271.410004,245.679993,268.260010,268.260010,65448300
2015-07-01,271.109985,286.649994,250.789993,266.149994,266.149994,80061000
2015-08-01,266.290009,271.000000,195.000000,249.059998,249.059998,115220000
2015-09-01,240.339996,271.570007,236.970001,248.399994,248.399994,80248200
2015-10-01,247.509995,249.839996,202.000000,206.929993,206.929993,100752700
2015-11-01,208.919998,234.580002,205.800003,230.259995,230.259995,78468700
2015-12-01,231.059998,243.630005,214.869995,240.009995,240.009995,59839200
2016-01-01,230.720001,231.380005,182.410004,191.199997,191.199997,79228100
2016-02-01,188.759995,199.520004,141.050003,191.929993,191.929993,133577600
2016-03-01,194.250000,239.880005,181.500000,229.770004,229.770004,102894800
2016-04-01,244.830002,269.339996,233.250000,240.759995,240.759995,135447500
2016-05-01,241.500000,243.190002,203.660004,223.229996,223.229996,102846400
2016-06-01,221.479996,240.850006,187.869995,212.279999,212.279999,121649400
2016-07-01,206.139999,235.279999,206.000000,234.789993,234.789993,74047800
2016-08-01,235.500000,236.630005,208.649994,212.009995,212.009995,62252600
2016-09-01,209.009995,211.100006,193.449997,204.029999,204.029999,70621500
2016-10-01,212.300003,215.669998,192.000000,197.729996,197.729996,92108100
2016-11-01,198.039993,199.350006,178.190002,189.399994,189.399994,98849200
2016-12-01,188.250000,223.800003,180.000000,213.690002,213.690002,87959600
2017-01-01,214.860001,258.459991,210.960007,251.929993,251.929993,100651500
2017-02-01,253.050003,287.390015,242.009995,249.990005,249.990005,119524200
2017-03-01,254.179993,282.000000,242.779999,278.299988,278.299988,107035300
2017-04-01,286.899994,314.799988,284.579987,314.070007,314.070007,116908500
